signal_key,signal_label,region,datetime,value,unit,temporality,zone,dataCenterProvider,dataCenterRegion,endpoint_used,field_used
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 02:05:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 02:10:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 02:15:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 02:20:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 02:25:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 02:30:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 02:35:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 02:40:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 02:45:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 02:50:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 02:55:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 03:00:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 03:05:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 03:10:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 03:15:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 03:20:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 03:25:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 03:30:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 03:35:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 03:40:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 03:45:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 03:50:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 03:55:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 04:00:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 04:05:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 04:10:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 04:15:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 04:20:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 04:25:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
carbon_free_energy_percentage,Carbon-Free Energy Percentage,ca-central-1,2026-05-11 04:30:00+00:00,97.0,%,past-range,CA-QC,,ca-central-1,power-breakdown,fossilFreePercentage
