signal_key,signal_label,region,datetime,value,unit,temporality,zone,dataCenterProvider,dataCenterRegion,endpoint_used,field_used
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-10 23:35:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-10 23:40:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-10 23:45:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-10 23:50:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-10 23:55:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 00:00:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 00:05:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 00:10:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 00:15:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 00:20:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 00:25:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 00:30:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 00:35:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 00:40:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 00:45:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 00:50:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 00:55:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 01:00:00+00:00,46.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 01:05:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 01:10:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 01:15:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 01:20:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 01:25:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 01:30:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 01:35:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 01:40:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 01:45:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 01:50:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
carbon_intensity,Carbon Intensity,ca-central-1,2026-05-11 01:55:00+00:00,47.0,gCO2eq/kWh,past-range,CA-QC,,ca-central-1,carbon-intensity,carbonIntensity
